iter	RMSE
0	3.067117257
1	3.041197954
2	3.015895021
3	2.992679584
4	2.969674709
5	2.950268294
6	2.929196531
7	2.911636403
8	2.892375789
9	2.8742265
10	2.85694001
11	2.840339381
12	2.825415665
13	2.810502808
14	2.796291573
15	2.782638147
16	2.769961804
17	2.757769409
18	2.745739128
19	2.734828348
20	2.724178365
21	2.714584579
22	2.70591618
23	2.696255024
24	2.687576461
25	2.679372165
26	2.671638855
27	2.664267396
28	2.657054685
29	2.650057847
30	2.643280535
31	2.637889414
32	2.632080464
33	2.627290501
34	2.621763428
35	2.616378585
36	2.611905909
37	2.607268096
38	2.602960736
39	2.599625153
40	2.596606784
41	2.592849707
42	2.589470703
43	2.585734219
44	2.582918957
45	2.58021255
46	2.577151434
47	2.573890748
48	2.571079996
49	2.569128307
50	2.567126297
51	2.564962024
52	2.562075844
53	2.559689344
54	2.55744753
55	2.555190257
56	2.55331651
57	2.55118562
58	2.549513541
59	2.547457623
60	2.545997474
61	2.54394211
62	2.54261322
63	2.540961432
64	2.539036047
65	2.537250404
66	2.535807804
67	2.534368026
68	2.53320406
69	2.531817486
70	2.530425346
71	2.529251792
72	2.52765778
73	2.526670906
74	2.525269024
75	2.524019742
76	2.523002366
77	2.521513613
78	2.520307153
79	2.518945612
80	2.517654528
81	2.516300637
82	2.515527302
83	2.514718548
84	2.514093537
85	2.513127611
86	2.512389909
87	2.511626067
88	2.510595022
89	2.509846304
90	2.509012501
91	2.508235048
92	2.507184974
93	2.506446143
94	2.505778053
95	2.505243719
96	2.504374668
97	2.503606681
98	2.502846972
99	2.50183332
100	2.50116818
101	2.500279997
102	2.499393113
103	2.499089849
104	2.49871062
105	2.498317435
106	2.497570862
107	2.496994324
108	2.496416327
109	2.495614769
110	2.495140819
111	2.494480538
112	2.493679971
113	2.493187139
114	2.492645162
115	2.491408393
116	2.490894251
117	2.490073314
118	2.489423828
119	2.488931755
120	2.488138014
121	2.486909491
122	2.485870256
123	2.485293502
124	2.484415541
125	2.483938283
126	2.483023368
127	2.48246422
128	2.481882635
129	2.480894474
130	2.480376189
131	2.480108986
132	2.479701766
133	2.479108161
134	2.478565314
135	2.478052431
136	2.477647025
137	2.477106985
138	2.476709054
139	2.476164903
140	2.475775908
141	2.475016934
142	2.474250115
143	2.473325874
144	2.472986091
145	2.472330569
146	2.471998969
147	2.471483041
148	2.470950204
149	2.470199955
150	2.469756624
151	2.469170585
152	2.468901907
153	2.468699271
154	2.468184686
155	2.468056275
156	2.467501098
157	2.466861008
158	2.466578884
159	2.466026429
160	2.465770489
161	2.46546624
162	2.464358256
