iter	Passed	Remaining
0	5	897
1	10	808
2	14	757
3	18	733
4	22	712
5	25	668
6	29	663
7	34	661
8	38	657
9	42	653
10	47	649
11	51	649
12	55	642
13	60	638
14	64	631
15	68	629
16	72	620
17	76	619
18	80	613
19	85	608
20	89	604
21	93	602
22	98	596
23	103	597
24	106	590
25	111	585
26	115	580
27	120	579
28	124	575
29	128	571
30	132	565
31	136	560
32	141	557
33	145	553
34	150	549
35	154	544
36	158	540
37	162	535
38	167	532
39	171	527
40	176	524
41	180	519
42	184	515
43	189	511
44	193	506
45	197	502
46	202	498
47	206	493
48	210	489
49	214	485
50	219	481
51	223	477
52	227	472
53	231	467
54	236	463
55	240	459
56	245	455
57	248	450
58	252	445
59	256	440
60	261	436
61	265	432
62	269	427
63	273	422
64	277	418
65	281	413
66	285	409
67	290	405
68	294	401
69	298	396
70	302	391
71	306	386
72	310	382
73	314	378
74	318	373
75	322	369
76	326	364
77	330	360
78	334	355
79	338	351
80	342	346
81	346	342
82	351	338
83	354	333
84	358	329
85	363	325
86	368	321
87	372	317
88	376	313
89	380	308
90	384	303
91	388	299
92	392	295
93	396	291
94	400	286
95	404	282
96	409	278
97	412	273
98	416	269
99	420	265
100	424	260
101	428	256
102	432	252
103	436	247
104	440	243
105	443	238
106	447	234
107	451	229
108	455	225
109	459	221
110	463	216
111	467	212
112	470	208
113	475	204
114	479	199
115	483	195
116	486	191
117	491	187
118	495	183
119	499	178
120	502	174
121	507	170
122	510	166
123	514	161
124	518	157
125	522	153
126	526	149
127	530	145
128	535	141
129	539	136
130	543	132
131	546	128
132	550	124
133	554	120
134	558	115
135	562	111
136	565	107
137	569	103
138	573	99
139	577	94
140	581	90
141	584	86
142	588	82
143	592	78
144	596	74
145	599	69
146	604	65
147	608	61
148	612	57
149	615	53
150	620	49
151	624	45
152	627	41
153	631	36
154	635	32
155	639	28
156	642	24
157	647	20
158	650	16
159	654	12
160	658	8
161	662	4
162	666	0
