iter	RMSE
0	3.004362562
1	2.980439384
2	2.956714206
3	2.936071072
4	2.914266442
5	2.89347709
6	2.874146767
7	2.855411769
8	2.837506941
9	2.820608987
10	2.805499386
11	2.793013968
12	2.778670239
13	2.766193735
14	2.753429609
15	2.740492535
16	2.728331953
17	2.717228707
18	2.706158324
19	2.695738581
20	2.686141962
21	2.676790645
22	2.668427272
23	2.660798573
24	2.652703
25	2.644642671
26	2.637858588
27	2.630875525
28	2.624438772
29	2.619112358
30	2.613112129
31	2.607782203
32	2.603656737
33	2.598700373
34	2.595119128
35	2.590649172
36	2.586407287
37	2.582069282
38	2.579133877
39	2.575418143
40	2.569413425
41	2.564110899
42	2.558925515
43	2.554389717
44	2.549320656
45	2.544775168
46	2.540731002
47	2.536701239
48	2.533380492
49	2.529477193
50	2.526000527
51	2.523404245
52	2.520673477
53	2.517689927
54	2.514910448
55	2.512186332
56	2.509607058
57	2.507107705
58	2.504643666
59	2.502402478
60	2.500496738
61	2.498376875
62	2.496604943
63	2.494870978
64	2.493019497
65	2.491284366
66	2.49000444
67	2.488373593
68	2.486927225
69	2.486050304
70	2.485175562
71	2.4838728
72	2.482368114
73	2.481129698
74	2.479997551
75	2.478907364
76	2.477924888
77	2.476717827
78	2.475653833
79	2.474649276
80	2.473846587
81	2.472990608
82	2.472195547
83	2.471332307
84	2.470361527
85	2.469493128
86	2.468600426
87	2.467955136
88	2.467186124
89	2.466603276
90	2.466008335
91	2.465096138
92	2.464561316
93	2.463752852
94	2.46307684
95	2.46263054
96	2.462022215
97	2.461624877
98	2.461364739
99	2.460883452
100	2.460228843
101	2.459354131
102	2.458571672
103	2.457982544
104	2.457111711
105	2.456683617
106	2.456183381
107	2.455250908
108	2.454878711
109	2.454116236
110	2.453825475
111	2.453517768
112	2.452651617
113	2.452154387
114	2.451624902
115	2.450994058
116	2.45054908
117	2.449705178
118	2.449420794
119	2.448851705
120	2.44839962
121	2.447899737
122	2.447385693
123	2.447324679
124	2.44681625
125	2.44656201
126	2.446266628
127	2.445629064
128	2.445430861
129	2.444849636
130	2.443816196
131	2.44324576
132	2.443000778
133	2.442415313
134	2.44216298
135	2.441455047
136	2.441313881
137	2.441190458
138	2.440859778
139	2.44067503
140	2.440287671
141	2.439767684
142	2.43954475
143	2.439156064
144	2.43850713
145	2.437986272
146	2.437544929
147	2.436795742
148	2.436693361
149	2.436269943
150	2.435968647
151	2.435567476
152	2.435268154
153	2.435049368
154	2.434903583
155	2.434587609
156	2.434228833
157	2.433443448
158	2.432963898
159	2.432858334
160	2.432599621
161	2.432404249
162	2.43186778
