iter	Passed	Remaining
0	2	453
1	4	367
2	6	340
3	8	318
4	10	322
5	12	319
6	14	313
7	15	307
8	18	308
9	19	303
10	21	301
11	22	287
12	24	283
13	26	281
14	28	281
15	30	277
16	31	271
17	33	270
18	35	269
19	37	267
20	38	262
21	40	260
22	43	261
23	44	260
24	46	258
25	48	256
26	50	254
27	52	252
28	54	250
29	55	247
30	57	245
31	59	243
32	61	244
33	63	241
34	64	236
35	66	234
36	68	233
37	70	233
38	72	229
39	73	226
40	75	225
41	77	223
42	79	221
43	81	219
44	82	217
45	84	215
46	86	213
47	88	211
48	89	207
49	91	205
50	93	204
51	94	200
52	95	198
53	97	196
54	98	194
55	100	192
56	102	190
57	104	188
58	106	186
59	107	185
60	109	183
61	111	181
62	113	179
63	114	177
64	116	175
65	118	174
66	119	171
67	121	169
68	123	167
69	124	165
70	125	162
71	126	160
72	128	158
73	130	156
74	132	155
75	134	153
76	136	152
77	138	150
78	140	148
79	141	147
80	143	144
81	144	142
82	146	141
83	148	139
84	150	137
85	151	135
86	153	134
87	155	132
88	157	130
89	159	129
90	160	127
91	162	125
92	164	123
93	166	121
94	167	120
95	169	118
96	171	116
97	173	114
98	174	112
99	176	110
100	177	109
101	179	107
102	181	105
103	183	103
104	185	102
105	186	100
106	188	98
107	191	97
108	192	95
109	194	93
110	196	91
111	198	90
112	200	88
113	201	86
114	203	84
115	205	83
116	207	81
117	208	79
118	210	77
119	212	76
120	214	74
121	216	72
122	217	70
123	218	68
124	220	67
125	222	65
126	224	63
127	226	61
128	227	60
129	229	58
130	231	56
131	233	54
132	235	53
133	237	51
134	239	49
135	240	47
136	241	45
137	243	44
138	245	42
139	247	40
140	249	38
141	251	37
142	253	35
143	255	33
144	256	31
145	258	30
146	260	28
147	262	26
148	264	24
149	265	23
150	267	21
151	269	19
152	271	17
153	273	15
154	275	14
155	276	12
156	278	10
157	280	8
158	282	7
159	284	5
160	285	3
161	287	1
162	289	0
