iter	RMSE
0	2.353243821
1	2.334293313
2	2.315817041
3	2.29871562
4	2.281827458
5	2.265743577
6	2.251048417
7	2.236621434
8	2.222613898
9	2.209658565
10	2.19718206
11	2.185307663
12	2.174282859
13	2.163702743
14	2.153646418
15	2.144124383
16	2.135290177
17	2.126745677
18	2.118450975
19	2.110329325
20	2.102869332
21	2.095732928
22	2.089090711
23	2.082884226
24	2.076959901
25	2.071031884
26	2.065732938
27	2.060594012
28	2.056195518
29	2.051368724
30	2.04705551
31	2.042612223
32	2.038735573
33	2.034801698
34	2.031262639
35	2.028125138
36	2.024908208
37	2.021481167
38	2.01840193
39	2.015500432
40	2.012723169
41	2.010119886
42	2.007604293
43	2.004947786
44	2.002722709
45	2.000579492
46	1.998689477
47	1.996725071
48	1.993364809
49	1.990274467
50	1.987422018
51	1.984709277
52	1.982260966
53	1.97984772
54	1.977415041
55	1.975186499
56	1.97302986
57	1.971137917
58	1.969154843
59	1.967324881
60	1.965579428
61	1.964518284
62	1.962942453
63	1.961534172
64	1.960058506
65	1.958788577
66	1.95750587
67	1.95628511
68	1.954977738
69	1.953866425
70	1.952832715
71	1.951546378
72	1.950636853
73	1.94963545
74	1.948631558
75	1.947802484
76	1.946833748
77	1.946067612
78	1.945297568
79	1.944539514
80	1.943893103
81	1.94324861
82	1.942631168
83	1.94213149
84	1.941324001
85	1.940687041
86	1.939999991
87	1.939419079
88	1.938767027
89	1.938318546
90	1.937778682
91	1.937139127
92	1.936557467
93	1.935879003
94	1.935438785
95	1.934913383
96	1.934468824
97	1.933986089
98	1.93325022
99	1.932766228
100	1.932239021
101	1.931837657
102	1.93134261
103	1.930970825
104	1.93055287
105	1.929980772
106	1.929386116
107	1.929031274
108	1.928916718
109	1.928664149
110	1.92847066
111	1.92828392
112	1.927918666
113	1.927721153
114	1.927307167
115	1.926977109
116	1.926573715
117	1.926221609
118	1.926008456
119	1.925584151
120	1.92529185
121	1.925060166
122	1.924745464
123	1.92457774
124	1.924003858
125	1.923848108
126	1.92361315
127	1.923214478
128	1.922830821
129	1.922561956
130	1.922254365
131	1.921825201
132	1.921575512
133	1.921227727
134	1.921067392
135	1.920900037
136	1.920822319
137	1.920397367
138	1.920123681
139	1.919882756
140	1.919578854
141	1.919247024
142	1.918969809
143	1.918667067
144	1.918521448
145	1.91832391
146	1.918115034
147	1.917795462
148	1.917643149
149	1.917234546
150	1.916954649
151	1.916811303
152	1.916673427
153	1.916292668
154	1.915879975
155	1.915579794
156	1.915437514
157	1.915065022
158	1.914559359
159	1.914177767
160	1.913689506
161	1.913299087
162	1.912925963
