iter	Passed	Remaining
0	61	9894
1	63	5124
2	66	3542
3	68	2722
4	70	2229
5	72	1894
6	74	1668
7	77	1503
8	79	1363
9	81	1247
10	83	1155
11	85	1076
12	87	1009
13	89	949
14	91	898
15	92	851
16	94	811
17	96	776
18	98	743
19	99	714
20	102	692
21	104	667
22	105	642
23	107	622
24	109	603
25	111	585
26	112	567
27	114	552
28	116	539
29	118	525
30	120	511
31	121	498
32	123	487
33	125	476
34	127	466
35	129	456
36	131	446
37	133	437
38	134	428
39	137	421
40	139	414
41	141	407
42	143	399
43	145	394
44	148	389
45	150	382
46	151	374
47	153	368
48	155	361
49	157	355
50	159	349
51	160	343
52	161	336
53	163	330
54	165	325
55	167	320
56	169	315
57	171	310
58	173	306
59	175	301
60	177	296
61	177	289
62	179	285
63	181	281
64	183	276
65	184	271
66	187	267
67	188	263
68	190	259
69	192	255
70	194	251
71	195	247
72	197	243
73	199	240
74	201	236
75	203	232
76	204	228
77	206	225
78	208	221
79	209	217
80	211	214
81	213	210
82	215	207
83	217	204
84	219	201
85	220	197
86	222	194
87	224	191
88	226	188
89	227	184
90	229	181
91	231	178
92	233	175
93	235	172
94	237	169
95	238	166
96	240	163
97	242	160
98	244	157
99	245	154
100	247	152
101	249	149
102	251	146
103	253	143
104	255	141
105	256	138
106	258	135
107	261	132
108	262	130
109	264	127
110	266	124
111	267	121
112	269	119
113	271	116
114	273	114
115	275	111
116	276	108
117	278	106
118	280	103
119	282	101
120	284	98
121	286	96
122	288	93
123	289	91
124	291	88
125	293	86
126	295	83
127	297	81
128	299	78
129	300	76
130	302	73
131	304	71
132	306	69
133	308	66
134	310	64
135	312	61
136	313	59
137	315	57
138	317	54
139	319	52
140	321	50
141	323	47
142	324	45
143	326	43
144	328	40
145	330	38
146	331	36
147	333	33
148	335	31
149	337	29
150	339	26
151	341	24
152	342	22
153	345	20
154	347	17
155	348	15
156	351	13
157	353	11
158	354	8
159	356	6
160	358	4
161	359	2
162	361	0
